kaptCode,schul_nm,schul_dstnc
A13972602,서울청계초등학교,20
A13972603,서울용동초등학교,21
A13985402,서울수암초등학교,135
A13985605,서울중계초등학교,215
A13985904,서울중계초등학교,19
A13985907,서울중계초등학교,10
A13985908,서울원광초등학교,149
A13985909,서울중계초등학교,254
A13986004,서울을지초등학교,169
A13986009,서울을지초등학교,266
A13986012,서울을지초등학교,1
A13986013,서울을지초등학교,75
A13986111,서울불암초등학교,0
A13986201,서울원광초등학교,104
A13986302,서울중평초등학교,20
A13986306,서울중원초등학교,14
A13986504,서울청계초등학교,12
A13986505,서울청계초등학교,146
A13986509,서울청계초등학교,164
A13986606,서울을지초등학교,93
A13986701,서울중계초등학교,363
A13986702,서울중계초등학교,57
A13993001,서울불암초등학교,12
A13993002,서울수암초등학교,124
A10024828,서울수색초등학교,98
A12209001,서울증산초등학교,195
A12287202,서울수색초등학교,259
A12287204,서울수색초등학교,237
A10024774,서울녹번초등학교,190
A10025836,서울어울초등학교,356
A10027816,서울어울초등학교,0
A12283601,서울녹번초등학교,69
