kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A36176811,분평주공4-2단지아파트,자치관리,6,,자치관리,4,,자치관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,12,235,293,무,124,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(청주서원도서관) 병원(현대이비인후과, 명인치과) 대형상가(E마-트) 공원(안뜸)",초등학교(남평) 중학교(분평중) 고등학교(하이텍) 대학교(청주교대),11,0,Y
A36177019,분평주공5단지,자치관리,8,,자치관리,9,,위탁관리,7,음식물쓰레기종량제,위탁관리,4,분무식,프리케스트콘크리트구조,2250,단일계약,상주선임,R형,수도직결식,위탁관리,31,400,474,무,194,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(청주지방법원) 병원(한국병원) 대형상가(E마-트) 공원(안뜸),초등학교(남평초등학교) 중학교(분평중학교) 고등학교(충북고등학교) 대학교(청주교육대학교),14,4,Y
A36177117,분평주공6단지,위탁관리,8,(주)백운에프엠,위탁관리,12,(주)백운에프엠,위탁관리,9,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2050,단일계약,상주선임,R형,수도직결식,위탁관리,34,513,683,무,182,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(청주지방법원) 병원(하얀이치과) 대형상가(E마-트) 공원(안뜸),초등학교(남평) 중학교(분평중) 고등학교(충북고) 대학교(청주교대),24,0,Y
A36177214,분평주공7단지,위탁관리,7,(주)하나종합관리,위탁관리,6,(주)하나종합관리,위탁관리,8,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,1600,단일계약,상주선임,R형,부스타방식,위탁관리,31,610,374,무,172,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(청주지방법원) 병원(김재충산부인과) 대형상가(E마-트) 공원(안뜸),초등학교(남성초) 중학교(남성중) 고등학교(충북고) 대학교(청주교대),2,2,Y
A36182102,분평럭키아파트,위탁관리,2,거창유지관리(주),자치관리(직영),2,,자치관리,1,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,224,기타,위탁선임,P형,부스타방식,위탁관리,6,73,33,무,29,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(청주지방법원) 병원() 대형상가(E마-트) 공원(잠두봉),초등학교(남성) 중학교(남성) 고등학교(충북고) 대학교(청주교대),6,0,Y
A36182103,대승스카이빌아파트,위탁관리,2,백운에프엠,위탁관리,2,백운에프엠,위탁관리,1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,450,단일계약,위탁선임,P형,부스타방식,위탁관리,4,99,131,무,27,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(청주지방법원) 병원() 대형상가(E마-트) 공원(잠두봉),초등학교(남성) 중학교(남성) 고등학교(충북고) 대학교(청주교대),5,0,Y
A36182105,"분평계룡리슈빌1,2단지",위탁관리,5,거창유지관리(주),위탁관리,4,거창유지관리(주),자치관리(직영),3,음식물쓰레기종량제,위탁관리,4,분무식,철골콘크리트구조,2035,단일계약,상주선임,R형,부스타방식,위탁관리,11,48,506,유,135,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(산남동 주민센터, 법원, 검찰청) 병원(충북대학교병원) 대형상가(이마트, 산남동 농협 하나로마트)","초등학교(남성초등학교) 중학교(청주남중학교) 고등학교(충북고등학교) 대학교(청주교육대학교, 충북대학교)",7,4,Y
A36182216,분평현대대우아파트,위탁관리,10,우리관리(주),위탁관리,9,더빌코리아,위탁관리,9,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,3100,단일계약,상주선임,R형,부스타방식,위탁관리,27,565,992,무,217,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,,,,관공서(청주지방법원) 병원(충북대병원) 백화점(현대백화점) 대형상가(이마트) 공원(안뜸),초등학교(남평초) 중학교(분평중) 고등학교(충북고) 대학교(청주교대),22,10,Y
A36185310,주은프레지던트아파트,위탁관리,6,부건피앤피주식회사,위탁관리,10,더빌코리아,위탁관리,5,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2700,종합계약,상주선임,R형,부스타방식,위탁관리,18,248,564,무,112,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(청주지방법원) 병원(굿모닝치과의원) 대형상가(E마-트) 공원(안뜸),초등학교(남평) 중학교(분평중) 고등학교(충북고) 대학교(청주교대),0,20,Y
A36185412,분평대원아파트,위탁관리,6,거창유지관리(주),자치관리,8,,자치관리,5,거점장비수거방식,위탁관리,4,분무식,철근콘크리트구조,2160,단일계약,상주선임,GR형,고가수조식,위탁관리,25,229,285,무,155,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,,,,관공서(청주지방법원) 병원(굿모닝치과의원) 대형상가(E마-트) 공원(안뜸),초등학교(남평) 중학교(분평중) 고등학교(충북고) 대학교(청주교대),0,11,Y
